# brass holder with empty powder container 
#  temperature (K) 	 M/H spline 0.1T (emu) 	 M/H spline 5T (emu)
9.343534353435343220e+00	1.030836638554883834e-10	5.052964680984429772e-11
9.378337833783376709e+00	1.068422764820188595e-10	5.375058438827067896e-11
9.413141314131411974e+00	1.105779676100248578e-10	5.695191899018577078e-11
9.447944794479447239e+00	1.142908189253900678e-10	6.013376280352442679e-11
9.482748274827482504e+00	1.179809121139983088e-10	6.329622801622166859e-11
9.517551755175517769e+00	1.216483288617336582e-10	6.643942681621258242e-11
9.552355235523551258e+00	1.252931508544796766e-10	6.956347139143199601e-11
9.587158715871586523e+00	1.289154597781205061e-10	7.266847392981527996e-11
9.621962196219620012e+00	1.325153373185399528e-10	7.575454661929719737e-11
9.656765676567655277e+00	1.360928651616219780e-10	7.882180164781310590e-11
9.691569156915690542e+00	1.396481249932505170e-10	8.187035120329778159e-11
9.726372637263725807e+00	1.431811984993092983e-10	8.490030747368642700e-11
9.761176117611761072e+00	1.466921673656823608e-10	8.791178264691398620e-11
9.795979597959796337e+00	1.501811132782534071e-10	9.090488891091551956e-11
9.830783078307829825e+00	1.536481179229063984e-10	9.387973845362586777e-11
9.865586558655865090e+00	1.570932629855253477e-10	9.683644346298047893e-11
9.900390039003898579e+00	1.605166301519938543e-10	9.977511612691399986e-11
9.935193519351933844e+00	1.639183011081961379e-10	1.026958686333618399e-10
9.969996999699969109e+00	1.672983575400159529e-10	1.055988131702588397e-10
1.000480048004800437e+01	1.706568811333372346e-10	1.084840619255400468e-10
1.003960396039603964e+01	1.739939535740438150e-10	1.113517270871405473e-10
1.007440744074407313e+01	1.773096565480193193e-10	1.142019208429951690e-10
1.010921092109210839e+01	1.806040717411481222e-10	1.170347553810393214e-10
1.014401440144014366e+01	1.838772808393139008e-10	1.198503428892078191e-10
1.017881788178817715e+01	1.871293655284003317e-10	1.226487955554355674e-10
1.021362136213621241e+01	1.903604074942917381e-10	1.254302255676579629e-10
1.024842484248424768e+01	1.935704884228717194e-10	1.281947451138098591e-10
1.028322832283228294e+01	1.967596900000242367e-10	1.309424663818263680e-10
1.031803180318031643e+01	1.999280939116329669e-10	1.336735015596422141e-10
1.035283528352835170e+01	2.030757818435821556e-10	1.363879628351928972e-10
1.038763876387638696e+01	2.062028354817554537e-10	1.390859623964132190e-10
1.042244224422442223e+01	2.093093365120368742e-10	1.417676124312382660e-10
1.045724572457245571e+01	2.123953666203101198e-10	1.444330251276029691e-10
1.049204920492049098e+01	2.154610074924593843e-10	1.470823126734425698e-10
1.052685268526852624e+01	2.185063408143682930e-10	1.497155872566919734e-10
1.056165616561656151e+01	2.215314482719208328e-10	1.523329610652862919e-10
1.059645964596459500e+01	2.245364115510007324e-10	1.549345462871604305e-10
1.063126312631263026e+01	2.275213123374921597e-10	1.575204551102495532e-10
1.066606660666066553e+01	2.304862323172788950e-10	1.600907997224887461e-10
1.070087008700870079e+01	2.334312531762447444e-10	1.626456923118130180e-10
1.073567356735673428e+01	2.363564566002735658e-10	1.651852450661571448e-10
1.077047704770476955e+01	2.392619242752495271e-10	1.677095701734566005e-10
1.080528052805280481e+01	2.421477378870562018e-10	1.702187798216462129e-10
1.084008400840084008e+01	2.450139791215775252e-10	1.727129861986609907e-10
1.087488748874887357e+01	2.478607296646975362e-10	1.751923014924358908e-10
1.090969096909690883e+01	2.506880712023000149e-10	1.776568378909062321e-10
1.094449444944494410e+01	2.534960854202688968e-10	1.801067075820069459e-10
1.097929792979297758e+01	2.562848540044879620e-10	1.825420227536728597e-10
1.101410141014101285e+01	2.590544586408413529e-10	1.849628955938392409e-10
1.104890489048904811e+01	2.618049810152126944e-10	1.873694382904411756e-10
1.108370837083708338e+01	2.645365028134859221e-10	1.897617630314135691e-10
1.111851185118511687e+01	2.672491057215449195e-10	1.921399820046913525e-10
1.115331533153315213e+01	2.699428714252737770e-10	1.945042073982098707e-10
1.118811881188118740e+01	2.726178816105560683e-10	1.968545513999039512e-10
1.122292229222922266e+01	2.752742179632760905e-10	1.991911261977087580e-10
1.125772577257725615e+01	2.779119621693172102e-10	2.015140439795591188e-10
1.129252925292529142e+01	2.805311959145636731e-10	2.038234169333902748e-10
1.132733273327332668e+01	2.831320008848994145e-10	2.061193572471372349e-10
1.136213621362136195e+01	2.857144587662080596e-10	2.084019771087351109e-10
1.139693969396939544e+01	2.882786512443735954e-10	2.106713887061186274e-10
1.143174317431743070e+01	2.908246600052801124e-10	2.129277042272232066e-10
1.146654665466546597e+01	2.933525667348112358e-10	2.151710358599837537e-10
1.150135013501350123e+01	2.958624531188507974e-10	2.174014957923352517e-10
1.153615361536153472e+01	2.983544008432829395e-10	2.196191962122126833e-10
1.157095709570956998e+01	3.008284915939914941e-10	2.218242493075513157e-10
1.160576057605760525e+01	3.032848070568602930e-10	2.240167672662860025e-10
1.164056405640564051e+01	3.057234289177731166e-10	2.261968622763518559e-10
1.167536753675367400e+01	3.081444388626139520e-10	2.283646465256838069e-10
1.171017101710170927e+01	3.105479185772668377e-10	2.305202322022170710e-10
1.174497449744974453e+01	3.129339497476155026e-10	2.326637314938866052e-10
1.177977797779777802e+01	3.153026140595436233e-10	2.347952565886274183e-10
1.181458145814581329e+01	3.176539931989356005e-10	2.369149196743746739e-10
1.184938493849384855e+01	3.199881688516749561e-10	2.390228329390633032e-10
