# Temperature (K), 	 Pt100 Resistance (Ohm)
3.418185043334960227e+01	3.585741777420039966e+00
3.469200134277340197e+01	3.709440898895259853e+00
3.521100044250489702e+01	3.837431707382199964e+00
3.573590087890629974e+01	3.970520629882809960e+00
3.626884841918950286e+01	4.108677368164060262e+00
3.681010055541990056e+01	4.252007312774660264e+00
3.735924911499019885e+01	4.400451087951659623e+00
3.791839981079100141e+01	4.554917335510250354e+00
3.848445129394529829e+01	4.713990383148190411e+00
3.905820083618159799e+01	4.879461746215819851e+00
3.964175033569340201e+01	5.049615859985349786e+00
4.023455047607419743e+01	5.225765628814699859e+00
4.083615112304690342e+01	5.407580375671390271e+00
4.144559860229490056e+01	5.597420768737790375e+00
4.206169891357419743e+01	5.790733623504640271e+00
4.269194984436040130e+01	5.990483856201169743e+00
4.333005142211909799e+01	6.196748065948489703e+00
4.397579956054690342e+01	6.408688545227049893e+00
4.463205146789550071e+01	6.627494869232180008e+00
4.529710006713870030e+01	6.852705745697019957e+00
4.597529983520509944e+01	7.084404830932619745e+00
4.666209983825680041e+01	7.322784824371339596e+00
4.735724830627439985e+01	7.568536186218260298e+00
4.806430053710940342e+01	7.820830059051510297e+00
4.878009986877439985e+01	8.079731750488280184e+00
4.951045036315920100e+01	8.345011329650880327e+00
5.025164985656739702e+01	8.617295265197750354e+00
5.099824905395509944e+01	8.897328567504880326e+00
5.176130104064939985e+01	9.183506393432619319e+00
5.253539848327640271e+01	9.477486228942870738e+00
5.331529998779299717e+01	9.778527069091799362e+00
5.411100006103519888e+01	1.008597183227539951e+01
5.492144966125489702e+01	1.040184497833249999e+01
5.574254989624019885e+01	1.072455158233639949e+01
5.657345008850099788e+01	1.105492515563959977e+01
5.741985130310060015e+01	1.139236888885499965e+01
5.827849960327149859e+01	1.173676204681400037e+01
5.914500045776370030e+01	1.208991470336910012e+01
6.002954864501950283e+01	1.244898014068600034e+01
6.092639923095700283e+01	1.281601371765139952e+01
6.183595085144040127e+01	1.319054603576659979e+01
6.276275062561040130e+01	1.357236461639399927e+01
6.369540023803710227e+01	1.396166076660160016e+01
6.464720153808589487e+01	1.435830402374270065e+01
6.561029815673829546e+01	1.476364021301269958e+01
6.658909988403320312e+01	1.517550697326660014e+01
6.758610153198239345e+01	1.559512004852289913e+01
6.859544754028320312e+01	1.602294235229490127e+01
6.962084960937500000e+01	1.645812377929690129e+01
7.066080093383790484e+01	1.689713096618649857e+01
7.171159744262699576e+01	1.734605293273930116e+01
7.278110122680659799e+01	1.780610580444340130e+01
7.386944961547850141e+01	1.827241973876949999e+01
7.497489929199220171e+01	1.874640464782709870e+01
7.609404754638670454e+01	1.922745452880860029e+01
7.722819900512699576e+01	1.971269210815430029e+01
7.837760162353519888e+01	2.021194076538089845e+01
7.954895019531250000e+01	2.071601104736329901e+01
8.073754882812500000e+01	2.122678428649900084e+01
8.194190216064450283e+01	2.174867630004879970e+01
8.316604995727540484e+01	2.227678680419920099e+01
