# Temperature (K) 	 Resistance (Ohm)
4.596799850463869852e+00	6.924927001953129775e+02
4.300650119781489700e+00	7.287264428710940365e+02
4.000200033187869764e+00	7.693169226074220433e+02
3.852450013160710007e+00	7.921913342285159843e+02
3.699300050735470080e+00	8.172522851562499682e+02
3.549899935722350186e+00	8.443068884277339521e+02
3.400250077247620073e+00	8.737809838867190138e+02
3.250149965286249998e+00	9.060617285156249636e+02
3.100549936294560105e+00	9.415181079101560044e+02
2.948400020599370119e+00	9.806846691894529613e+02
2.800299882888789949e+00	1.024033803710939992e+03
2.650749921798710051e+00	1.071766005859369898e+03
2.499549984931949798e+00	1.124413012695310044e+03
2.348649978637700197e+00	1.183970129394529977e+03
2.199499964714049849e+00	1.251069926757809981e+03
2.049499988555909979e+00	1.325046208496090003e+03
1.900099992752080080e+00	1.404724926757809953e+03
