# Temperature (K) 	 M/H in emu (multiply by field in Oe)
2.231252384185789950e+01	7.563018385212238647e-12
2.248275375366209872e+01	7.093759733076649359e-12
2.264628124237060192e+01	7.481717394357753246e-12
2.280124759674069779e+01	7.798504475329911071e-12
2.296624660491940162e+01	7.333013638562325030e-12
2.312563133239750002e+01	6.639024867283971303e-12
2.328054141998289950e+01	6.963366742610762656e-12
2.344525241851809838e+01	6.901269998073584944e-12
2.360316658020019887e+01	6.851051744122391997e-12
2.376906394958500002e+01	7.230995496585826575e-12
2.393099021911620028e+01	6.712486896856656758e-12
2.409664249420169924e+01	7.075891346336686492e-12
2.426764106750489702e+01	6.758341685112832506e-12
2.443171405792239526e+01	6.657158082799822420e-12
2.459423446655270240e+01	6.948641570482209566e-12
2.475595664978030186e+01	6.720037237702524884e-12
2.491756820678709872e+01	6.770915918694485455e-12
2.508103656768799894e+01	6.397026485977512537e-12
2.524202442169189808e+01	6.447444344137191737e-12
2.540516185760499823e+01	6.494915217786012098e-12
2.559144210815430043e+01	6.442658104931118929e-12
2.575897693634030006e+01	6.719456475718698088e-12
2.592283725738530009e+01	6.462247749410224836e-12
2.607147979736329901e+01	6.542042161302747240e-12
2.621623802185060015e+01	6.080807157992861059e-12
2.638255691528319957e+01	6.311757159554595363e-12
2.654445266723629970e+01	6.136658190228263389e-12
2.670239925384520063e+01	5.817323599213193873e-12
2.686689567565919745e+01	6.318706971773183489e-12
2.703269577026370030e+01	6.072065680992100318e-12
2.719298934936520240e+01	5.755915451912828280e-12
2.735879993438719637e+01	5.573392431972695679e-12
2.751782894134520063e+01	5.727922113825008945e-12
2.768145942687989702e+01	5.725286231220270145e-12
2.784955310821530006e+01	5.874073184158893159e-12
2.801112556457519887e+01	5.831191553341685680e-12
2.817737579345699928e+01	5.793200599969914068e-12
2.833731079101560013e+01	5.546385690168194751e-12
2.850409317016600141e+01	5.759604003515156218e-12
2.867576789855960229e+01	5.305260040903389369e-12
2.884458446502689810e+01	5.474408153291265262e-12
2.900871276855469816e+01	5.553375739989344593e-12
2.916516876220699928e+01	5.150512933149712272e-12
2.932726669311520240e+01	5.512803780254309669e-12
2.947923851013180396e+01	5.286234641104336157e-12
2.964463996887210229e+01	5.379207446940115732e-12
2.980210685729980113e+01	5.497176946211642915e-12
2.995983791351319780e+01	5.148869921318860490e-12
3.012791061401370030e+01	5.361430064141331658e-12
3.029017639160160158e+01	5.188460248945227619e-12
3.045547676086430045e+01	5.441878931626037418e-12
3.062068176269530184e+01	4.772651377205761771e-12
3.078797054290770063e+01	5.262624827080382267e-12
3.095157718658450108e+01	5.498655168993330602e-12
3.111472415924069779e+01	4.979848665185997283e-12
3.127595710754389913e+01	4.628517909024923530e-12
3.143892765045169924e+01	5.174516491099186478e-12
3.160550498962399857e+01	4.989021713437907966e-12
3.178137016296389916e+01	5.236745913257223609e-12
3.195515632629389913e+01	5.131170991137850265e-12
3.211287307739259944e+01	4.909043036366374405e-12
3.226735115051270242e+01	5.230697857837457835e-12
3.243006706237789416e+01	4.917008128319836878e-12
3.257739448547359729e+01	4.890206418532338583e-12
3.274772262573240056e+01	4.573688366612542820e-12
3.291575241088870030e+01	4.957100451809295030e-12
3.307674217224120383e+01	4.713501343709003899e-12
3.324340820312500000e+01	4.638375157855492242e-12
3.340820312500000000e+01	4.618247747817936268e-12
3.356395530700680041e+01	4.532386042636692216e-12
3.372527885437010298e+01	4.654467991751160773e-12
3.389439392089840197e+01	4.431738636519139365e-12
3.405387496948240056e+01	4.732955522560434651e-12
