#  temperature dependence of magnetization of quartz holder at 2T
#   temperature (K) 	 M/H (emu)
7.041648864746090908e+01	-1.004571649702800132e-08
7.091594314575191049e+01	-2.045152546686850087e-08
7.140149688720700283e+01	-2.225456297122249841e-08
7.188230895996090908e+01	-1.670309581528250081e-08
7.236341094970700283e+01	-1.872528347064060055e-08
7.285804367065429688e+01	-3.525659568803929457e-09
7.335474777221679688e+01	3.982204102615399952e-10
7.384560012817379970e+01	-9.455746751871141630e-10
7.435084533691409092e+01	-3.578367657638040436e-08
7.483496093750000000e+01	-1.869096084532220100e-08
7.532449722290040484e+01	1.867098589844920116e-08
7.581372451782229405e+01	7.575522416036920549e-09
7.630545425415040484e+01	2.255406562932950418e-08
7.679736709594729405e+01	-1.422498215240840097e-08
7.729893112182620030e+01	-2.902654539150119877e-08
7.779718780517579546e+01	-1.991437207758840158e-08
7.830350112915040484e+01	-1.031156239495799942e-08
7.878487014770509234e+01	-2.801226708918550063e-08
7.927138519287109375e+01	-1.414018831175250111e-08
7.976749038696290484e+01	-1.854208050305840011e-08
8.025033950805659799e+01	-1.371186598136769724e-09
8.074874496459959516e+01	-6.799057911761011572e-09
8.126106262207029829e+01	-9.034570728257300334e-09
8.175159454345700283e+01	-2.761379367047509537e-08
8.224701690673829546e+01	1.442629174033310162e-08
8.272530746459959516e+01	-3.813755180333799787e-08
8.321591567993159799e+01	1.185524480431770038e-08
8.371686935424808951e+01	1.879178653355110100e-08
8.422383117675779829e+01	-2.815942165623549968e-08
8.473701477050779829e+01	-2.676820471208640175e-08
8.523159027099609375e+01	-2.674192370211749899e-08
8.570313644409179688e+01	6.717100109955899042e-09
8.619406509399409799e+01	5.625276528247539587e-10
8.668814849853519888e+01	-2.054191323773820139e-08
8.717772293090820312e+01	-3.994417887324279432e-08
8.766849899291990766e+01	-1.857549983242469890e-08
8.817091369628910513e+01	1.704972135626879835e-08
8.868606567382808237e+01	-6.457572100679580067e-09
8.917574310302730112e+01	-2.464324928446959741e-08
8.967128753662109375e+01	-3.110663108163399810e-08
9.017890167236329546e+01	1.962954032121500073e-08
9.068973922729490766e+01	-2.051402815654899650e-08
9.118909072875980826e+01	-2.487775156793490245e-08
9.168775177001948862e+01	-9.975707442751779931e-09
9.216216659545899859e+01	-2.155485986198899957e-08
9.265386581420899859e+01	-8.466874645721359868e-09
9.314766311645509234e+01	3.006319336626920388e-08
9.363982772827149859e+01	-4.896390233778920484e-08
9.413621139526371451e+01	-2.956491134697640033e-09
9.463782119750980826e+01	-2.055086753922850352e-08
9.513507843017579546e+01	-5.349897070457630435e-08
9.565367507934570312e+01	-1.067843112407380117e-08
